pair_id,domain,split,pair_hash
1,movie,heldout,535cca1a45bf3ba0f0506685b75fc958f20ece8b2024edd564f7602f8924a2a9
2,movie,discovery,e143bdaf782f0a8e82fdb11e28edd1913196be7769de8f9c369f66e876b8c430
3,movie,discovery,e202e2d3451986d9d833ced3338137796a250fdcd26b3ffc054a9db71ce74d83
4,movie,discovery,7f751dd7d9bbbb8273f946a3c6b39f0a1f05356c15c33cbaedc0fed3d414dd79
5,movie,discovery,d7dc39256b5f6280952896db6df04f6fde91b4d84f3a7398b19f91d8e04df164
6,movie,discovery,ed0a574f7c381d46f93ea1b0e974a01dad4daf1151dd8b831bd5377dcc773526
7,movie,discovery,9bdf6b4467b4e7df904e2d09944f9009d31b3496eaa05665e440c79d46df04cc
8,movie,heldout,50c52593dab8f56632b8d2545fd5e1799784ca60d3b4d9deda97a49a63c9e8d3
9,movie,discovery,4d52f1258b9c4bc6d06a4ae13d86b632074b9893efac161d23ac8a540a13b19b
10,movie,discovery,624a6f4285b74189ffcf65a9c2a17fae5e6e6e122a8b78cf1731b1c0ec23b79f
11,movie,discovery,8d2d0a30e12e1bf203b142fadb5a5e7ba3b1150beaedeea2d5608c3a33b2f1d8
12,movie,heldout,1dc8c762838dfdb385f756670757ee38cafe725e1c9a02e6d8f4b361c8e6b539
13,movie,discovery,05b5a06a3fb4434c29724b035e131a08b7587ad17181fc973840b2a7a550bf1e
14,movie,discovery,411b96f02749ef985ce38844430f92269da008071e3cde049bffad04cf5ab317
15,movie,heldout,5cc0a1d8330d01433d0fa024c32fcd7558d814bb0e8586e9b1b311baa8f90e57
16,movie,heldout,dfa3c513d3ddbad6e5c668abe7e35ba74feff744422ef07c09ad8a3dcd1e3f64
17,movie,heldout,e87bef4a6a0bf1aa6026e396bf4e649be8bf43312b4c622946373ab4b2ca0ccd
18,movie,heldout,34b90d43f9c3cf572eea557702f959fd47926816cb364eac00a51b9d84d7d178
19,movie,heldout,7e5496b9f1bd37ac749c951f18c8db22bea64cd394e22c816d6b6917b04aeb8d
20,movie,heldout,5732c49aa76a596df0fbb419b3df0f4af1a92accb3160b1136e19d03bfab87dc
21,movie,discovery,ed5053517591249037240c23c51ab9bef4c7e160b67861602fd2ee7342a7105d
22,movie,heldout,bfe40fd621da03144aad09c8df18058b22f9aee1a7704023e11ca99d2615fa40
23,movie,discovery,331a4b9c420b00889fd8cad62c62c89cac8c5d5c75119cdfaa2ecda1b858846d
24,movie,discovery,a30ff565a8492ce891a1515c42b4ec7811961e6d7589a4b8c04ba9c2c986cbcc
25,movie,discovery,3230b855dccccf0067afbe131267172a9957412b310cbeffe7f2be1f8228d2e6
26,restaurant,heldout,b9856665a44da8e0e568b0047b63bdb906b9e08ddb62e5a39caf5946d5c8ae95
27,restaurant,heldout,da3611ec91616ae0acad8c5e495fd99e75fe4f8530f832dce08ffdede8e6749f
28,restaurant,discovery,b56503f8a75622508d14bc6d33114147219b165722719c44e4f7b87b916cfbb1
29,restaurant,discovery,1b9647fb9bb8281b8827da97b458b4273c8737f7fa11ebe464205d102c40373e
30,restaurant,discovery,89032f54cb9df0e38b99f5023132bad80ec40b2e3b20f775823547276e1554ae
31,restaurant,discovery,f4d94b149fdb0315c522a0b4f86fc1371e0d46a306c3cbe57ea2479a5a514347
