pair_id,layer,head,head_label,sequence_length,mean_signed_difference,mean_absolute_difference,mean_difference_norm,max_difference_norm,max_difference_position,max_difference_token
1,8,9,L8H9,12,0.000810784928034991,0.020936379209160805,0.20620369911193848,0.8026367425918579,11,:
1,9,2,L9H2,12,0.000617615703959018,0.025915903970599174,0.24792349338531494,1.1536556482315063,11,:
1,10,4,L10H4,12,-0.000505305826663971,0.03194288909435272,0.33072689175605774,1.6903421878814697,11,:
2,8,9,L8H9,12,0.0021639252081513405,0.021865328773856163,0.2187126725912094,0.8114430904388428,11,:
2,9,2,L9H2,12,0.0023755424190312624,0.03392760083079338,0.32351064682006836,1.4819124937057495,11,:
2,10,4,L10H4,12,-0.002141892910003662,0.042133066803216934,0.4157582223415375,2.530845880508423,11,:
3,8,9,L8H9,12,0.00022655725479125977,0.020077748224139214,0.19958166778087616,0.8928268551826477,11,:
3,9,2,L9H2,12,0.0014564594021067023,0.019051842391490936,0.180494025349617,0.8933805823326111,11,:
3,10,4,L10H4,12,-0.0013375576818361878,0.01884939707815647,0.18732613325119019,0.9755901098251343,11,:
4,8,9,L8H9,12,0.0008347285911440849,0.018018223345279694,0.17951224744319916,0.8030674457550049,11,:
4,9,2,L9H2,12,0.002375081880018115,0.028582340106368065,0.265041321516037,1.3155804872512817,11,:
4,10,4,L10H4,12,0.0032599351834505796,0.03834190219640732,0.36901047825813293,2.0428900718688965,11,:
5,8,9,L8H9,12,-0.0019727631006389856,0.019380753859877586,0.18997792899608612,0.564238429069519,11,:
5,9,2,L9H2,12,-0.001597430557012558,0.019309891387820244,0.19379305839538574,0.9895601272583008,11,:
5,10,4,L10H4,12,0.0015976219438016415,0.021018676459789276,0.21245701611042023,0.7577300071716309,11,:
6,8,9,L8H9,12,-0.0004733052628580481,0.017636263743042946,0.17698509991168976,0.6826053857803345,11,:
6,9,2,L9H2,12,-0.0011723520001396537,0.021206989884376526,0.20169413089752197,0.9011569023132324,11,:
6,10,4,L10H4,12,0.0011383643141016364,0.02157384343445301,0.22575980424880981,1.0036975145339966,11,:
7,8,9,L8H9,12,-0.0013710827333852649,0.030933687463402748,0.30479955673217773,0.9377921223640442,7,.
7,9,2,L9H2,12,-0.0022575310431420803,0.014446988701820374,0.14388330280780792,0.5943977236747742,11,:
7,10,4,L10H4,12,0.004981695208698511,0.025983139872550964,0.2632109224796295,1.1997851133346558,11,:
8,8,9,L8H9,12,0.0014435341581702232,0.018539240583777428,0.1871715635061264,0.6817089319229126,11,:
8,9,2,L9H2,12,0.0017212099628522992,0.011667624115943909,0.11483287811279297,0.6198154091835022,11,:
8,10,4,L10H4,12,-0.0017697106814011931,0.03529289364814758,0.34536564350128174,2.2463114261627197,11,:
9,8,9,L8H9,12,0.00332049117423594,0.02675488032400608,0.26560965180397034,1.0647597312927246,11,:
9,9,2,L9H2,12,-0.0017081177793443203,0.012377834878861904,0.11924684047698975,0.5727105736732483,7,.
9,10,4,L10H4,12,0.0025306681636720896,0.019914723932743073,0.20122110843658447,0.7230799794197083,11,:
10,8,9,L8H9,12,-0.0016235070070251822,0.017678765580058098,0.17775313556194305,0.7400579452514648,11,:
10,9,2,L9H2,12,-0.0008206853526644409,0.011703980155289173,0.1152239739894867,0.4932120740413666,11,:
10,10,4,L10H4,12,0.0033188338857144117,0.03702781721949577,0.3629630506038666,1.9324945211410522,11,:
11,8,9,L8H9,12,0.002495433436706662,0.01981818489730358,0.19763559103012085,0.8890833854675293,11,:
11,9,2,L9H2,12,-0.0008322799694724381,0.01909538172185421,0.1895279437303543,1.1609903573989868,11,:
11,10,4,L10H4,12,0.0013419929891824722,0.023308509960770607,0.23661458492279053,1.137886643409729,11,:
12,8,9,L8H9,13,0.0018021049909293652,0.021731218323111534,0.21652135252952576,0.8484410047531128,12,:
12,9,2,L9H2,13,-0.0012626195093616843,0.013627186417579651,0.13397763669490814,0.5853310227394104,12,:
12,10,4,L10H4,13,-0.001980473520234227,0.025842372328042984,0.2662907838821411,1.2298392057418823,12,:
13,8,9,L8H9,12,0.0008117128163576126,0.01741805486381054,0.16844435036182404,0.6933060884475708,11,:
13,9,2,L9H2,12,0.00020602857694029808,0.012932099401950836,0.1251371055841446,0.4640616178512573,11,:
13,10,4,L10H4,12,-0.0011852727038785815,0.02166501246392727,0.20818664133548737,1.1305458545684814,11,:
14,8,9,L8H9,12,-0.006857312750071287,0.03246637433767319,0.32788392901420593,1.4448896646499634,11,:
14,9,2,L9H2,12,0.002397933742031455,0.03752816468477249,0.38174569606781006,1.7554409503936768,11,:
