pair_id,domain,split,clean_path,corrupted_path,clean_sequence_length,corrupted_sequence_length,sequence_length_equal,clean_sha256,corrupted_sha256
1,movie,heldout,data\expanded_activations\heldout\pair_001_clean.pt,data\expanded_activations\heldout\pair_001_corrupted.pt,12,12,True,c8741990a0e955b984a617ef6b30ecc30c06083fc45d8f22b5b08409bdd9b462,0af2b06c21717106b4e007702e39f12a4df76d81b89f3cbdaa28f4056b9294e8
2,movie,discovery,data\expanded_activations\discovery\pair_002_clean.pt,data\expanded_activations\discovery\pair_002_corrupted.pt,12,12,True,25d75a677037f1afbca82a568eed87c4c921e68115ad7c76607b65ade8acbf31,8d819d5428508967a95bf5cce784a6e62d93e853490226a20edf066bff1d3059
3,movie,discovery,data\expanded_activations\discovery\pair_003_clean.pt,data\expanded_activations\discovery\pair_003_corrupted.pt,12,12,True,2f972383d4e54aa9b42eb243ab5aa6e12fc72428705efeda6486b77b3b9305b9,400fe8f0a4865008520e935b6b0521eafc10dd63637e3bf0928ddab863becc8a
4,movie,discovery,data\expanded_activations\discovery\pair_004_clean.pt,data\expanded_activations\discovery\pair_004_corrupted.pt,12,12,True,7a241e8922a30f2b348bd2dcd8c1c3e7af3cab2d960d61fc9c1b45d2bf515e3c,3b22b05dcd3b97dce893fc4421f70e0728db63311d9ed3ac3912f0996f1336ed
5,movie,discovery,data\expanded_activations\discovery\pair_005_clean.pt,data\expanded_activations\discovery\pair_005_corrupted.pt,12,12,True,40ef82c5ebe3ec4a382f4b9332fe3db208de61e5d2fe75cf9382ad643cd983d2,f82c3ce943abdf2f8b8faec9df8c27767cf4727431c52a4808d6f22e1fb91477
6,movie,discovery,data\expanded_activations\discovery\pair_006_clean.pt,data\expanded_activations\discovery\pair_006_corrupted.pt,12,12,True,5f61176c0a181465e6158f2154dcc3755ca02aa5c6438e33f5cee0ba7cb1e441,5191ecff32b25b3f83b8b4b51897609acc1669ac7c9c5f37ccb725f828a174f9
7,movie,discovery,data\expanded_activations\discovery\pair_007_clean.pt,data\expanded_activations\discovery\pair_007_corrupted.pt,12,12,True,71f8c2f690b1091ee92cc24418179c61d3b161ae90de4a4a3edc9cbd7efeeb98,179629fb40d4ece3a8e47dfd2542d52f93b61c753678e701515f1ce51770ae8f
8,movie,heldout,data\expanded_activations\heldout\pair_008_clean.pt,data\expanded_activations\heldout\pair_008_corrupted.pt,12,12,True,12d61695f81b8f78329a28a5da1bf54c6ab4dbd2beb54b1619135768e980adf9,9f9cbd55f830b2c377ff30661b9c0139fc9c622e542019354bf0cadb0bd44d3b
9,movie,discovery,data\expanded_activations\discovery\pair_009_clean.pt,data\expanded_activations\discovery\pair_009_corrupted.pt,12,12,True,c05f40a6bde9e2b95ea8c76ccea8c3de452a1cb91b5a37fdad71d702f3cc2ef8,25d54052a82648deb9fb69142886913aa6a0a4f2b4d8339318a6d60a9f9ae7c6
10,movie,discovery,data\expanded_activations\discovery\pair_010_clean.pt,data\expanded_activations\discovery\pair_010_corrupted.pt,12,12,True,ad46abab2e329d0936b992a31124adb2628d56856364ae8838e9bfb974abea2f,634bb59276301eb985e776f16ba5cce619d13d8a9203122a75752ab044018708
