pair_id,domain,condition,n_heads,heads,clean_ld,corrupted_ld,patched_ld,behavioral_gap,recovery
2,movie,L10H4,1,L10H4,1.0695114135742188,-0.5381088256835938,-0.0623626708984375,1.6076202392578125,0.29593192668735824
2,movie,L8H9,1,L8H9,1.0695114135742188,-0.5381088256835938,-0.43135833740234375,1.6076202392578125,0.06640280190210428
2,movie,L9H2,1,L9H2,1.0695114135742188,-0.5381088256835938,-0.23213958740234375,1.6076202392578125,0.19032432586349268
2,movie,L10H4 + L8H9,2,L10H4 + L8H9,1.0695114135742188,-0.5381088256835938,0.04871368408203125,1.6076202392578125,0.36502557969570126
2,movie,L10H4 + L9H2,2,L10H4 + L9H2,1.0695114135742188,-0.5381088256835938,0.31490325927734375,1.6076202392578125,0.5306054652277494
2,movie,L8H9 + L9H2,2,L8H9 + L9H2,1.0695114135742188,-0.5381088256835938,-0.102996826171875,1.6076202392578125,0.2706559602114715
2,movie,L10H4 + L8H9 + L9H2,3,L10H4 + L8H9 + L9H2,1.0695114135742188,-0.5381088256835938,0.44525909423828125,1.6076202392578125,0.6116916768700703
3,movie,L10H4,1,L10H4,1.0176162719726562,-0.01616668701171875,0.18094635009765625,1.033782958984375,0.19067158671586715
3,movie,L8H9,1,L8H9,1.0176162719726562,-0.01616668701171875,0.1753692626953125,1.033782958984375,0.18527675276752767
3,movie,L9H2,1,L9H2,1.0176162719726562,-0.01616668701171875,0.187591552734375,1.033782958984375,0.19709963099630998
3,movie,L10H4 + L8H9,2,L10H4 + L8H9,1.0176162719726562,-0.01616668701171875,0.3689727783203125,1.033782958984375,0.37255350553505534
3,movie,L10H4 + L9H2,2,L10H4 + L9H2,1.0176162719726562,-0.01616668701171875,0.4039459228515625,1.033782958984375,0.40638376383763836
3,movie,L8H9 + L9H2,2,L8H9 + L9H2,1.0176162719726562,-0.01616668701171875,0.38007354736328125,1.033782958984375,0.38329151291512914
3,movie,L10H4 + L8H9 + L9H2,3,L10H4 + L8H9 + L9H2,1.0176162719726562,-0.01616668701171875,0.588165283203125,1.033782958984375,0.5845830258302583
4,movie,L10H4,1,L10H4,1.1721267700195312,-0.171600341796875,0.2000732421875,1.3437271118164062,0.2765990063875089
4,movie,L8H9,1,L8H9,1.1721267700195312,-0.171600341796875,-0.04360198974609375,1.3437271118164062,0.09525621007806956
4,movie,L9H2,1,L9H2,1.1721267700195312,-0.171600341796875,0.121856689453125,1.3437271118164062,0.21839034776437188
4,movie,L10H4 + L8H9,2,L10H4 + L8H9,1.1721267700195312,-0.171600341796875,0.3333587646484375,1.3437271118164062,0.37578992193044713
4,movie,L10H4 + L9H2,2,L10H4 + L9H2,1.1721267700195312,-0.171600341796875,0.5391616821289062,1.3437271118164062,0.5289481902058197
4,movie,L8H9 + L9H2,2,L8H9 + L9H2,1.1721267700195312,-0.171600341796875,0.25682830810546875,1.3437271118164062,0.3188360539389638
4,movie,L10H4 + L8H9 + L9H2,3,L10H4 + L8H9 + L9H2,1.1721267700195312,-0.171600341796875,0.6733245849609375,1.3437271118164062,0.628792051100071
5,movie,L10H4,1,L10H4,0.8647003173828125,0.14643096923828125,0.26971435546875,0.7182693481445312,0.17163949227255829
5,movie,L8H9,1,L8H9,0.8647003173828125,0.14643096923828125,0.24272918701171875,0.7182693481445312,0.13406978596845293
5,movie,L9H2,1,L9H2,0.8647003173828125,0.14643096923828125,0.3499908447265625,0.7182693481445312,0.283403260927293
5,movie,L10H4 + L8H9,2,L10H4 + L8H9,0.8647003173828125,0.14643096923828125,0.36566162109375,0.7182693481445312,0.3052206702427107
5,movie,L10H4 + L9H2,2,L10H4 + L9H2,0.8647003173828125,0.14643096923828125,0.4761810302734375,0.7182693481445312,0.45908970205534017
5,movie,L8H9 + L9H2,2,L8H9 + L9H2,0.8647003173828125,0.14643096923828125,0.44019317626953125,0.7182693481445312,0.4089861384035265
5,movie,L10H4 + L8H9 + L9H2,3,L10H4 + L8H9 + L9H2,0.8647003173828125,0.14643096923828125,0.5651016235351562,0.7182693481445312,0.5828880981464761
6,movie,L10H4,1,L10H4,1.33782958984375,0.42436981201171875,0.6463470458984375,0.9134597778320312,0.24300712442265449
6,movie,L8H9,1,L8H9,1.33782958984375,0.42436981201171875,0.578094482421875,0.9134597778320312,0.1682883846018926
6,movie,L9H2,1,L9H2,1.33782958984375,0.42436981201171875,0.6567001342773438,0.9134597778320312,0.25434105354592457
6,movie,L10H4 + L8H9,2,L10H4 + L8H9,1.33782958984375,0.42436981201171875,0.7925338745117188,0.9134597778320312,0.40304353999448755
6,movie,L10H4 + L9H2,2,L10H4 + L9H2,1.33782958984375,0.42436981201171875,0.88824462890625,0.9134597778320312,0.50782183096827
6,movie,L8H9 + L9H2,2,L8H9 + L9H2,1.33782958984375,0.42436981201171875,0.8004379272460938,0.9134597778320312,0.4116964144025257
6,movie,L10H4 + L8H9 + L9H2,3,L10H4 + L8H9 + L9H2,1.33782958984375,0.42436981201171875,1.019989013671875,0.9134597778320312,0.652047540696072
7,movie,L10H4,1,L10H4,0.7145462036132812,-0.17333984375,0.02687835693359375,0.8878860473632812,0.22549988399769713
7,movie,L8H9,1,L8H9,0.7145462036132812,-0.17333984375,-0.0465545654296875,0.8878860473632812,0.14279453843972606
7,movie,L9H2,1,L9H2,0.7145462036132812,-0.17333984375,-0.07440948486328125,0.8878860473632812,0.1114223600883336
7,movie,L10H4 + L8H9,2,L10H4 + L8H9,0.7145462036132812,-0.17333984375,0.16136932373046875,0.8878860473632812,0.3769731132440259
7,movie,L10H4 + L9H2,2,L10H4 + L9H2,0.7145462036132812,-0.17333984375,0.1341705322265625,0.8878860473632812,0.34633991252567087
7,movie,L8H9 + L9H2,2,L8H9 + L9H2,0.7145462036132812,-0.17333984375,0.05518341064453125,0.8878860473632812,0.257379035376406
7,movie,L10H4 + L8H9 + L9H2,3,L10H4 + L8H9 + L9H2,0.7145462036132812,-0.17333984375,0.2719573974609375,0.8878860473632812,0.5015252154635366
9,movie,L10H4,1,L10H4,0.9612808227539062,-0.08667755126953125,0.01251220703125,1.0479583740234375,0.0946504754000495
9,movie,L8H9,1,L8H9,0.9612808227539062,-0.08667755126953125,0.123291015625,1.0479583740234375,0.20035964414158622
9,movie,L9H2,1,L9H2,0.9612808227539062,-0.08667755126953125,0.03203582763671875,1.0479583740234375,0.11328062435387819
9,movie,L10H4 + L8H9,2,L10H4 + L8H9,0.9612808227539062,-0.08667755126953125,0.2248077392578125,1.0479583740234375,0.2972305945048705
9,movie,L10H4 + L9H2,2,L10H4 + L9H2,0.9612808227539062,-0.08667755126953125,0.1331634521484375,1.0479583740234375,0.20978028218232647
9,movie,L8H9 + L9H2,2,L8H9 + L9H2,0.9612808227539062,-0.08667755126953125,0.2469482421875,1.0479583740234375,0.3183578677616156
9,movie,L10H4 + L8H9 + L9H2,3,L10H4 + L8H9 + L9H2,0.9612808227539062,-0.08667755126953125,0.35050201416015625,1.0479583740234375,0.4171726437484529
10,movie,L10H4,1,L10H4,1.1173248291015625,-0.10051727294921875,0.24256134033203125,1.2178421020507812,0.2817102584181676
10,movie,L8H9,1,L8H9,1.1173248291015625,-0.10051727294921875,0.0691070556640625,1.2178421020507812,0.13928269381362568
10,movie,L9H2,1,L9H2,1.1173248291015625,-0.10051727294921875,-0.0017547607421875,1.2178421020507812,0.08109631949882537
10,movie,L10H4 + L8H9,2,L10H4 + L8H9,1.1173248291015625,-0.10051727294921875,0.42303466796875,1.2178421020507812,0.4299013312451057
10,movie,L10H4 + L9H2,2,L10H4 + L9H2,1.1173248291015625,-0.10051727294921875,0.3510589599609375,1.2178421020507812,0.37080031323414253
10,movie,L8H9 + L9H2,2,L8H9 + L9H2,1.1173248291015625,-0.10051727294921875,0.16463470458984375,1.2178421020507812,0.21772278778386844
10,movie,L10H4 + L8H9 + L9H2,3,L10H4 + L8H9 + L9H2,1.1173248291015625,-0.10051727294921875,0.5276031494140625,1.2178421020507812,0.5157650743931088
11,movie,L10H4,1,L10H4,1.19085693359375,0.0048065185546875,0.2074737548828125,1.1860504150390625,0.1708757349251888
11,movie,L8H9,1,L8H9,1.19085693359375,0.0048065185546875,0.1945037841796875,1.1860504150390625,0.15994030542011348
11,movie,L9H2,1,L9H2,1.19085693359375,0.0048065185546875,0.2480316162109375,1.1860504150390625,0.20507146624811845
11,movie,L10H4 + L8H9,2,L10H4 + L8H9,1.19085693359375,0.0048065185546875,0.4074859619140625,1.1860504150390625,0.33951292310463277
11,movie,L10H4 + L9H2,2,L10H4 + L9H2,1.19085693359375,0.0048065185546875,0.46599578857421875,1.1860504150390625,0.3888445753837049
11,movie,L8H9 + L9H2,2,L8H9 + L9H2,1.19085693359375,0.0048065185546875,0.43450164794921875,1.1860504150390625,0.36229077950314553
11,movie,L10H4 + L8H9 + L9H2,3,L10H4 + L8H9 + L9H2,1.19085693359375,0.0048065185546875,0.6620330810546875,1.1860504150390625,0.5541303760501228
13,movie,L10H4,1,L10H4,0.9303741455078125,0.20587921142578125,0.44207000732421875,0.7244949340820312,0.32600751887617024
13,movie,L8H9,1,L8H9,0.9303741455078125,0.20587921142578125,0.362762451171875,0.7244949340820312,0.21654152757447795
13,movie,L9H2,1,L9H2,0.9303741455078125,0.20587921142578125,0.29972076416015625,0.7244949340820312,0.1295268583944988
13,movie,L10H4 + L8H9,2,L10H4 + L8H9,0.9303741455078125,0.20587921142578125,0.5972366333007812,0.7244949340820312,0.5401796526995293
13,movie,L10H4 + L9H2,2,L10H4 + L9H2,0.9303741455078125,0.20587921142578125,0.545135498046875,0.7244949340820312,0.4682659196933478
13,movie,L8H9 + L9H2,2,L8H9 + L9H2,0.9303741455078125,0.20587921142578125,0.45581817626953125,0.7244949340820312,0.344983730162909
13,movie,L10H4 + L8H9 + L9H2,3,L10H4 + L8H9 + L9H2,0.9303741455078125,0.20587921142578125,0.698455810546875,0.7244949340820312,0.6798896389043924
14,movie,L10H4,1,L10H4,0.9232177734375,0.32161712646484375,0.40410614013671875,0.6016006469726562,0.13711589920484954
14,movie,L8H9,1,L8H9,0.9232177734375,0.32161712646484375,0.4228363037109375,0.6016006469726562,0.1682497812385071
14,movie,L9H2,1,L9H2,0.9232177734375,0.32161712646484375,0.459686279296875,0.6016006469726562,0.22950299925177228
14,movie,L10H4 + L8H9,2,L10H4 + L8H9,0.9232177734375,0.32161712646484375,0.5054779052734375,0.6016006469726562,0.3056193169568691
14,movie,L10H4 + L9H2,2,L10H4 + L9H2,0.9232177734375,0.32161712646484375,0.541900634765625,0.6016006469726562,0.36616235273229936
14,movie,L8H9 + L9H2,2,L8H9 + L9H2,0.9232177734375,0.32161712646484375,0.5608062744140625,0.6016006469726562,0.39758791675649624
14,movie,L10H4 + L8H9 + L9H2,3,L10H4 + L8H9 + L9H2,0.9232177734375,0.32161712646484375,0.6431427001953125,0.6016006469726562,0.5344501794478334
21,movie,L10H4,1,L10H4,1.05902099609375,-0.078216552734375,0.188323974609375,1.137237548828125,0.23437541929424394
21,movie,L8H9,1,L8H9,1.05902099609375,-0.078216552734375,0.0120391845703125,1.137237548828125,0.07936401449080907
21,movie,L9H2,1,L9H2,1.05902099609375,-0.078216552734375,0.23162841796875,1.137237548828125,0.2724540453508654
21,movie,L10H4 + L8H9,2,L10H4 + L8H9,1.05902099609375,-0.078216552734375,0.2730865478515625,1.137237548828125,0.3089091640949953
21,movie,L10H4 + L9H2,2,L10H4 + L9H2,1.05902099609375,-0.078216552734375,0.5086822509765625,1.137237548828125,0.5160740641352476
21,movie,L8H9 + L9H2,2,L8H9 + L9H2,1.05902099609375,-0.078216552734375,0.325042724609375,1.137237548828125,0.35459546491345767
21,movie,L10H4 + L8H9 + L9H2,3,L10H4 + L8H9 + L9H2,1.05902099609375,-0.078216552734375,0.59503173828125,1.137237548828125,0.5920032201797933
23,movie,L10H4,1,L10H4,0.9166259765625,0.13484954833984375,0.3433380126953125,0.7817764282226562,0.2666855341615513
23,movie,L8H9,1,L8H9,0.9166259765625,0.13484954833984375,0.27475738525390625,0.7817764282226562,0.1789614419970918
23,movie,L9H2,1,L9H2,0.9166259765625,0.13484954833984375,0.26093292236328125,0.7817764282226562,0.16127804506728866
23,movie,L10H4 + L8H9,2,L10H4 + L8H9,0.9166259765625,0.13484954833984375,0.490692138671875,0.7817764282226562,0.45517180805902274
23,movie,L10H4 + L9H2,2,L10H4 + L9H2,0.9166259765625,0.13484954833984375,0.47126007080078125,0.7817764282226562,0.4303155100567001
23,movie,L8H9 + L9H2,2,L8H9 + L9H2,0.9166259765625,0.13484954833984375,0.4055328369140625,0.7817764282226562,0.346241302247509
23,movie,L10H4 + L8H9 + L9H2,3,L10H4 + L8H9 + L9H2,0.9166259765625,0.13484954833984375,0.6231689453125,0.7817764282226562,0.6246279362538915
24,movie,L10H4,1,L10H4,1.2899627685546875,0.77703857421875,0.87652587890625,0.5129241943359375,0.19396102930239476
24,movie,L8H9,1,L8H9,1.2899627685546875,0.77703857421875,0.84979248046875,0.5129241943359375,0.14184143983340772
24,movie,L9H2,1,L9H2,1.2899627685546875,0.77703857421875,0.8472442626953125,0.5129241943359375,0.1368734196043433
24,movie,L10H4 + L8H9,2,L10H4 + L8H9,1.2899627685546875,0.77703857421875,0.9471511840820312,0.5129241943359375,0.3316525360702067
24,movie,L10H4 + L9H2,2,L10H4 + L9H2,1.2899627685546875,0.77703857421875,0.94464111328125,0.5129241943359375,0.3267588874014577
24,movie,L8H9 + L9H2,2,L8H9 + L9H2,1.2899627685546875,0.77703857421875,0.9169235229492188,0.5129241943359375,0.272720511676335
24,movie,L10H4 + L8H9 + L9H2,3,L10H4 + L8H9 + L9H2,1.2899627685546875,0.77703857421875,1.01239013671875,0.5129241943359375,0.45884277852149336
25,movie,L10H4,1,L10H4,0.9496307373046875,0.02313232421875,0.15038299560546875,0.9264984130859375,0.13734580609035063
25,movie,L8H9,1,L8H9,0.9496307373046875,0.02313232421875,0.1436767578125,0.9264984130859375,0.13010754459065532
25,movie,L9H2,1,L9H2,0.9496307373046875,0.02313232421875,0.1648712158203125,0.9264984130859375,0.15298341540539206
25,movie,L10H4 + L8H9,2,L10H4 + L8H9,0.9496307373046875,0.02313232421875,0.27178192138671875,0.9264984130859375,0.26837563200974984
25,movie,L10H4 + L9H2,2,L10H4 + L9H2,0.9496307373046875,0.02313232421875,0.296234130859375,0.9264984130859375,0.29476770039032263
25,movie,L8H9 + L9H2,2,L8H9 + L9H2,0.9496307373046875,0.02313232421875,0.2917327880859375,0.9264984130859375,0.28990925410497537
25,movie,L10H4 + L8H9 + L9H2,3,L10H4 + L8H9 + L9H2,0.9496307373046875,0.02313232421875,0.423553466796875,0.9264984130859375,0.4321876183731616
28,restaurant,L10H4,1,L10H4,1.656524658203125,0.8317947387695312,0.9811859130859375,0.8247299194335938,0.18113951100380207
28,restaurant,L8H9,1,L8H9,1.656524658203125,0.8317947387695312,0.9555435180664062,0.8247299194335938,0.15004764151379754
28,restaurant,L9H2,1,L9H2,1.656524658203125,0.8317947387695312,1.0439605712890625,0.8247299194335938,0.257254923727324
28,restaurant,L10H4 + L8H9,2,L10H4 + L8H9,1.656524658203125,0.8317947387695312,1.1020050048828125,0.8247299194335938,0.3276348532363852
28,restaurant,L10H4 + L9H2,2,L10H4 + L9H2,1.656524658203125,0.8317947387695312,1.1868515014648438,0.8247299194335938,0.4305127707009316
28,restaurant,L8H9 + L9H2,2,L8H9 + L9H2,1.656524658203125,0.8317947387695312,1.1571502685546875,0.8247299194335938,0.3944994865817445
28,restaurant,L10H4 + L8H9 + L9H2,3,L10H4 + L8H9 + L9H2,1.656524658203125,0.8317947387695312,1.2966995239257812,0.8247299194335938,0.5637054921877168
29,restaurant,L10H4,1,L10H4,1.3664169311523438,0.6090621948242188,0.7368316650390625,0.757354736328125,0.16870492001450618
29,restaurant,L8H9,1,L8H9,1.3664169311523438,0.6090621948242188,0.7466964721679688,0.757354736328125,0.18173026554378047
29,restaurant,L9H2,1,L9H2,1.3664169311523438,0.6090621948242188,0.8316192626953125,0.757354736328125,0.29386106298102105
29,restaurant,L10H4 + L8H9,2,L10H4 + L8H9,1.3664169311523438,0.6090621948242188,0.8703460693359375,0.757354736328125,0.34499536607970344
29,restaurant,L10H4 + L9H2,2,L10H4 + L9H2,1.3664169311523438,0.6090621948242188,0.9587783813476562,0.757354736328125,0.4617600838135149
29,restaurant,L8H9 + L9H2,2,L8H9 + L9H2,1.3664169311523438,0.6090621948242188,0.9553604125976562,0.757354736328125,0.4572470483942459
29,restaurant,L10H4 + L8H9 + L9H2,3,L10H4 + L8H9 + L9H2,1.3664169311523438,0.6090621948242188,1.0773162841796875,0.757354736328125,0.6182757787000847
30,restaurant,L10H4,1,L10H4,1.1209259033203125,0.41695404052734375,0.5516510009765625,0.7039718627929688,0.19133855707643788
30,restaurant,L8H9,1,L8H9,1.1209259033203125,0.41695404052734375,0.5985641479492188,0.7039718627929688,0.25797921340399477
30,restaurant,L9H2,1,L9H2,1.1209259033203125,0.41695404052734375,0.5949325561523438,0.7039718627929688,0.2528204961472185
