rank,layer,head,head_label,mean_recovery,median_recovery,std_recovery,min_recovery,max_recovery,positive_recovery_fraction,strong_recovery_fraction,full_recovery_fraction,n_pairs
1,10,4,L10H4,0.1770275339423595,0.16969065230171473,0.07672826511665659,0.03937436657641168,0.35392112420670896,1.0,0.2,0.0,60
2,8,9,L8H9,0.16242798688443155,0.15474858395066374,0.06933024277589829,0.06640280190210428,0.5510539437896645,1.0,0.06666666666666667,0.016666666666666666,60
3,9,2,L9H2,0.16010510885307838,0.12729177974197228,0.12134934626423127,0.032635240991613676,0.9231640979147778,1.0,0.13333333333333333,0.016666666666666666,60
4,9,10,L9H10,0.1263565894814992,0.11143281715242818,0.052268733393570854,0.05960211471473182,0.3214528558476881,1.0,0.016666666666666666,0.0,60
5,7,5,L7H5,0.08255478962637966,0.08180553037193239,0.03422446590766853,0.0055774706758274775,0.21611514052583863,1.0,0.0,0.0,60
6,11,9,L11H9,0.07375679816273245,0.0694702803213602,0.0395240219309813,0.012238674761682371,0.22572517818664015,1.0,0.0,0.0,60
7,9,3,L9H3,0.07026271962495062,0.06684083595924456,0.02196940810257298,0.029408135565335416,0.12011547856984232,1.0,0.0,0.0,60
8,6,7,L6H7,0.06903543323856143,0.0692535302518405,0.035804181090303464,-0.016262466001813237,0.14736588844874846,0.9833333333333333,0.0,0.0,60
9,6,3,L6H3,0.061016181952355523,0.062714259286481,0.04219072113844766,-0.08335222121486854,0.18853101096673117,0.9833333333333333,0.0,0.0,60
10,8,4,L8H4,0.05612208304255479,0.05833285014271046,0.03451227959347681,-0.011238189955246147,0.17027425203989122,0.9666666666666667,0.0,0.0,60
11,8,5,L8H5,0.05610365381714782,0.049878395758655256,0.02654178710162689,0.02048120379320254,0.1794537624660018,1.0,0.0,0.0,60
12,10,9,L10H9,0.053117298720407914,0.05213249230550745,0.014404099897230065,0.029314616019818333,0.08741204710051613,1.0,0.0,0.0,60
13,8,6,L8H6,0.04818122342711489,0.04342913943498862,0.023258273107930452,0.016340769301386213,0.13216123723190262,1.0,0.0,0.0,60
14,10,1,L10H1,0.03909502126870536,0.033230933414379625,0.02821731180890559,0.0026391401511120572,0.1606013639181649,1.0,0.0,0.0,60
15,8,11,L8H11,0.0366623817670291,0.033051491125081184,0.016870156736847313,0.01013610595888085,0.07859247506799637,1.0,0.0,0.0,60
16,6,4,L6H4,0.03546036054413478,0.030380379249348666,0.03170729657764442,-0.03394811776692181,0.13451949229374432,0.9333333333333333,0.0,0.0,60
17,7,1,L7H1,0.025690879055439663,0.024352964719918265,0.014288410605132223,0.0032574196781557994,0.07860626746548151,1.0,0.0,0.0,60
