excluded_index,excluded_pair_position,mean_improvement,positive_fraction
0,1,0.30992655104002964,1.0
1,2,0.31379523740327553,1.0
2,3,0.3140915275911458,1.0
3,4,0.310379380742353,1.0
4,5,0.3134508540478224,1.0
5,6,0.3105823552453137,1.0
6,7,0.3104776226513971,1.0
7,8,0.311360496555004,1.0
8,9,0.30850195543308484,1.0
9,10,0.3122868296361786,1.0
10,11,0.31023406274934867,1.0
11,12,0.3095439620631113,1.0
12,13,0.31287905518102394,1.0
13,14,0.3089208643952111,1.0
14,15,0.3113109726570394,1.0
15,16,0.31002896745062514,1.0
16,17,0.31452878706172127,1.0
17,18,0.3105259871854456,1.0
18,19,0.31210473992135046,1.0
19,20,0.31298894471146216,1.0
20,21,0.3097031251044432,1.0
21,22,0.3113727281293752,1.0
22,23,0.3106129289732456,1.0
23,24,0.30760333258006395,1.0
24,25,0.30932941852964263,1.0
25,26,0.31434106922714616,1.0
26,27,0.3133692518299554,1.0
27,28,0.30652879891917034,1.0
28,29,0.3090129740878929,1.0
29,30,0.311990358519505,1.0
30,31,0.31004648645252614,1.0
31,32,0.3112320062733703,1.0
32,33,0.3104882093286288,1.0
33,34,0.3103061146524118,1.0
34,35,0.3123343950425202,1.0
35,36,0.310591138874278,1.0
36,37,0.3113257807391614,1.0
37,38,0.30945867704766017,1.0
38,39,0.30822077144825544,1.0
39,40,0.3110408294267992,1.0
