rank,layer,head,head_label,mean_recovery,median_recovery,max_recovery,min_recovery,mean_patched_ld,valid_pairs,total_pairs
1,10,4,L10H4,0.2226420201322467,0.23425350421017582,0.32600751887617024,0.0946504754000495,0.17986183166503905,20,20
2,9,2,L9H2,0.16741063437750542,0.14891856876340967,0.283403260927293,0.06741075558727515,0.11444206237792968,20,20
3,8,9,L8H9,0.1427567378593285,0.15136742192991975,0.21654152757447795,0.05599829710351845,0.07919921875,20,20
4,9,10,L9H10,0.08932920021787075,0.0787268616915794,0.16615983597115672,0.05960211471473182,0.02729339599609375,20,20
5,11,9,L11H9,0.06875829656029311,0.06758203122850276,0.144584974773654,0.02889641962575512,0.006679153442382813,20,20
6,7,5,L7H5,0.06805602207995287,0.06770579871902821,0.09818450184501845,0.03880638656741024,0.009418106079101563,20,20
7,9,3,L9H3,0.06674584905245651,0.0647287708517811,0.10451660516605166,0.03276860162515269,0.007735061645507813,20,20
8,6,7,L6H7,0.06396862920212978,0.05769058797288304,0.14736588844874846,0.006239089944791988,0.004624176025390625,20,20
9,8,4,L8H4,0.05242164912425051,0.05829343569158546,0.09047924937605964,0.005258771063010733,-0.005433273315429687,20,20
10,6,3,L6H3,0.04711726022432634,0.04347490247097283,0.08520918671451942,0.018500112754637556,-0.013643646240234375,20,20
11,8,5,L8H5,0.04594946861254915,0.048800793309290914,0.07442002506292057,0.02228974158183242,-0.013438034057617187,20,20
12,10,9,L10H9,0.04298376572525175,0.04086132485365861,0.07767156443292668,0.02711657067128804,-0.018522262573242188,20,20
13,8,6,L8H6,0.03906608396803368,0.03832059043234584,0.07732648139762639,0.015858351597940773,-0.023160552978515624,20,20
14,10,1,L10H1,0.038618970889981535,0.03557553237493816,0.0633339654845439,0.018182286877991356,-0.022242355346679687,20,20
15,8,11,L8H11,0.03488305093112026,0.03162646649465484,0.06096823579359055,0.015466973714737448,-0.026493072509765625,20,20
