excluded_pair,n_pairs,mean_improvement,median_improvement,positive_fraction
1,19,0.32267943407893845,0.3282002655035085,1.0
2,19,0.3244653450349452,0.3320316999562283,1.0
3,19,0.3203520982490673,0.3282002655035085,1.0
4,19,0.32254780321758464,0.3282002655035085,1.0
5,19,0.3194396157880396,0.3282002655035085,1.0
6,19,0.31955583629332907,0.3282002655035085,1.0
7,19,0.32655663023057,0.3320316999562283,1.0
8,19,0.3306204218771801,0.3320316999562283,1.0
9,19,0.32410942828938244,0.3320316999562283,1.0
10,19,0.32876560473009103,0.3320316999562283,1.0
11,19,0.32091298235377563,0.3282002655035085,1.0
12,19,0.3312285964733348,0.3320316999562283,1.0
13,19,0.32245890451676046,0.3282002655035085,1.0
14,19,0.3201719487159835,0.3282002655035085,1.0
15,19,0.32360892662581275,0.3282002655035085,1.0
16,19,0.32991352972651317,0.3320316999562283,1.0
17,19,0.324025558500311,0.3320316999562283,1.0
18,19,0.3238105810706927,0.3320316999562283,1.0
19,19,0.3256227959254647,0.3320316999562283,1.0
20,19,0.3197552641488939,0.3282002655035085,1.0
